"characters/characterName","characters/characterLink","characters/actorName","characters/actorLink","characters/houseName/0","characters/royal","characters/parents/0","characters/parents/1","characters/siblings/0","characters/siblings/1","characters/killedBy/0","characters/characterImageThumb","characters/characterImageFull","characters/nickname","characters/killed/0","characters/killed/1","characters/servedBy/0","characters/servedBy/1","characters/parentOf/0","characters/parentOf/1","characters/parentOf/2","characters/marriedEngaged/0","characters/serves/0","characters/kingsguard","characters/killedBy/1","characters/siblings/2","characters/siblings/3","characters/killed/2","characters/killed/3","characters/killed/4","characters/killed/5","characters/killed/6","characters/killed/7","characters/killed/8","characters/killed/9","characters/killed/10","characters/killed/11","characters/killed/12","characters/killed/13","characters/guardedBy/0","characters/actors/0/actorName","characters/actors/0/actorLink","characters/actors/0/seasonsActive/0","characters/actors/1/actorName","characters/actors/1/actorLink","characters/actors/1/seasonsActive/0","characters/actors/0/seasonsActive/1","characters/actors/0/seasonsActive/2","characters/actors/0/seasonsActive/3","characters/serves/1","characters/serves/2","characters/serves/3","characters/houseName/1","characters/parentOf/3","characters/parentOf/4","characters/marriedEngaged/1","characters/actors/1/seasonsActive/1","characters/actors/1/seasonsActive/2","characters/killed/14","characters/killed/15","characters/servedBy/2","characters/servedBy/3","characters/servedBy/4","characters/servedBy/5","characters/guardedBy/1","characters/guardedBy/2","characters/guardianOf/0","characters/allies/0","characters/allies/1","characters/siblings/4","characters/killedBy/2","characters/actors/2/actorName","characters/actors/2/actorLink","characters/actors/2/seasonsActive/0","characters/actors/2/seasonsActive/1","characters/actors/2/seasonsActive/2","characters/actors/2/seasonsActive/3","characters/actors/2/seasonsActive/4","characters/guardianOf/1","characters/guardianOf/2","characters/parents/2","characters/killedBy/3","characters/abductedBy/0","characters/marriedEngaged/2","characters/abducted/0","characters/sibling/0","characters/sibling/1","characters/allies/2"
Great Master #6,/character/ch0525536/,Hadi Kermani,/name/nm7318134/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Great Master #7,/character/ch0525536/,Tonci Banov,/name/nm7318135/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Greatjon Umber,/character/ch0305010/,Clive Mantle,/name/nm0544139/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","",Smalljon Umber,"","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Gregor Clegane,/character/ch0245401/,"","","",false,"","","","",Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1_.jpg,The Mountain,Elia Martell,Rhaenys Targaryen,"","","","","","",Tywin Lannister,false,"","","",Aegon Targaryen,Hugh of the Vale,Oberyn Martell,King's Landing Boaster,Faith Militant,Missandei,Qyburn,"","","","","","",Ian Whyte,/name/nm1613839/,2,Conan Stevens,/name/nm1947403/,1,,,,Cersei Lannister,"","","","","","",,,"","","","","","","","","","","","","",Hafþór Júlíus Björnsson,/name/nm5491087/,4,5,6,7,8,"","","","","","","","","",""
Greizhen mo Ullhor,/character/ch0396531/,Cliff Barry,/name/nm0057965/,"",false,"","","","",Unsullied,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SY1000_SX1500_AL_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Grenn,/character/ch0251496/,Mark Stanley,/name/nm4440305/,"",false,"","","","",Mag the Mighty,https://images-na.ssl-images-amazon.com/images/M/MV5BMzkzOTI0NjM3MV5BMl5BanBnXkFtZTcwMTY3ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzkzOTI0NjM3MV5BMl5BanBnXkFtZTcwMTY3ODg4OQ@@._V1_.jpg,"",Mag the Mighty,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Grey Wind,"","","",Stark,false,"","",Lady,Nymeria,Frey Crossbowmen,"","","",Rennick,"","","","","","","","",false,"",Summer,Shaggydog,"","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","",Robb Stark,"","",Ghost,"","","",,,,,,"","","","","","","","","",""
Grey Worm,/character/ch0335038/,Jacob Anderson,/name/nm2760664/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMjk3ZDJlNTQtZDBiMC00ODVhLTlmYmYtYzkxMDA0N2QxNDY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjk3ZDJlNTQtZDBiMC00ODVhLTlmYmYtYzkxMDA0N2QxNDY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"",Belicho Paenymion,Razdal mo Eraz,"","","","","","",Daenerys Targaryen,false,"","","",Harry Strickland,"","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Hallyne,/character/ch0259178/,Roy Dotrice,/name/nm0234541/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMDg4YzNjMzMtYzk4OS00NTEwLWE1NWItYjMyODViNTQ4YmUxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg4YzNjMzMtYzk4OS00NTEwLWE1NWItYjMyODViNTQ4YmUxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Handmaid,/character/ch0537855/,Sabrina Bartlett,/name/nm6301068/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Handmaid,/character/ch0537855/,Sara Dylan,/name/nm2407387/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Harald Karstark,/character/ch0542917/,Paul Rattray,/name/nm1051151/,"",false,Rickard Karstark,"","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BNTE4OTIwNWQtZjNkOC00MzhhLThhYzQtMmU1OTFiZGU3YzMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE4OTIwNWQtZjNkOC00MzhhLThhYzQtMmU1OTFiZGU3YzMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","",Alys Karstark,"","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Rhaego,"","","","",false,Khal Drogo,Daenerys Targaryen,"","",Mirri Maz Duur,"","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Harry Strickland,"",Marc Rissmann,/name/nm4704928/,"",false,"","","","",Grey Worm,https://images-na.ssl-images-amazon.com/images/M/MV5BZGVkZjRkMzUtMzgzYy00YzcyLThhZmMtNDMxMGNmNGRmNWQyXkEyXkFqcGdeQXVyNDgzNTg0OTA@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZGVkZjRkMzUtMzgzYy00YzcyLThhZmMtNDMxMGNmNGRmNWQyXkEyXkFqcGdeQXVyNDgzNTg0OTA@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
High Priestess,/character/ch0539898/,Souad Faress,/name/nm0267256/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzQxOTMwM15BMl5BanBnXkFtZTgwMzkwMzg4ODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzQxOTMwM15BMl5BanBnXkFtZTgwMzkwMzg4ODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
High Septon,/character/ch0508056/,David Verrey,/name/nm0894857/,"",false,"","","","",Kings Landing Rioters,"","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
High Septon,/character/ch0508056/,Paul Bentley,/name/nm0072855/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyYTc3OTgtMmE1Mi00NDVmLWIyNjYtOTIwNDAyYmVmN2E5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyYTc3OTgtMmE1Mi00NDVmLWIyNjYtOTIwNDAyYmVmN2E5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
High Sparrow,/character/ch0476559/,Jonathan Pryce,/name/nm0000596/,"",false,"","","","",Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTk0MjExMF5BMl5BanBnXkFtZTgwODk5Njk5NzE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTk0MjExMF5BMl5BanBnXkFtZTgwODk5Njk5NzE@._V1_SY1000_CR0,0,1504,1000_AL_.jpg","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Hizdahr zo Loraq,/character/ch0414458/,Joel Fry,/name/nm2181128/,"",false,"","","","",Sons of the Harpy,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4YjdmZjItYmExNi00YmNlLWJjZmYtNWEwMmEzNGFjYmFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4YjdmZjItYmExNi00YmNlLWJjZmYtNWEwMmEzNGFjYmFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Hodor,/character/ch0238584/,Kristian Nairn,/name/nm3964231/,"",false,"","","","",Wights,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzU4MDEyNF5BMl5BanBnXkFtZTcwNDM2ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzU4MDEyNF5BMl5BanBnXkFtZTcwNDM2ODg4OQ@@._V1_.jpg,"",Locke,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Hoster Tully,/character/ch0540082/,Christopher Newman,/name/nm0628040/,Tully,false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3YzMzOWUtNzNjYi00ODYzLThjNjUtNzc4NzFlNmE2NjgyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3YzMzOWUtNzNjYi00ODYzLThjNjUtNzc4NzFlNmE2NjgyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Hot Pie,/character/ch0273432/,Ben Hawkey,/name/nm3444954/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNTI4NDg4M15BMl5BanBnXkFtZTcwNDk4NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNTI4NDg4M15BMl5BanBnXkFtZTcwNDk4NDk4OQ@@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Howland Reed,/character/ch0543132/,Leo Woodruff,/name/nm4547262/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BOTdkNjRkMTAtZGMwOS00OTA4LWE5NzktNDIyOTNiOTM0ZjkxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdkNjRkMTAtZGMwOS00OTA4LWE5NzktNDIyOTNiOTM0ZjkxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"",Arthur Dayne,"","","",Jojen Reed,Meera Reed,"","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","",Eddard Stark,"","","","","",,,,,,"","","","","","","","","",""
Hugh of the Vale,/character/ch0305026/,Jefferson Hall,/name/nm2131630/,"",false,"","","","",Gregor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BODRhNGQwNDgtNDEwNS00MWRlLWJmZTQtMTJlNjNmZTI1ZDk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODRhNGQwNDgtNDEwNS00MWRlLWJmZTQtMTJlNjNmZTI1ZDk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Illyrio Mopatis,/character/ch0172909/,Roger Allam,/name/nm0019885/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMzM1OWY0ZmUtNWM5Ny00NzgzLWFhMmUtOWY1Njc3NmNkZmM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM1OWY0ZmUtNWM5Ny00NzgzLWFhMmUtOWY1Njc3NmNkZmM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Ilyn Payne,/character/ch0246254/,Wilko Johnson,/name/nm3330122/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BOGY5ZGE1OGUtODYwNS00OTVlLWE1MWItMzI5NDBmYWIwZTI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGY5ZGE1OGUtODYwNS00OTVlLWE1MWItMzI5NDBmYWIwZTI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"",Eddard Stark,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Irri,/character/ch0249444/,Amrita Acharia,/name/nm3822505/,"",false,"","","","",Doreah,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y0ZmNiMjItNzVmNi00MGEyLWFhMTUtZDZkYTBmZjFiZDY1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y0ZmNiMjItNzVmNi00MGEyLWFhMTUtZDZkYTBmZjFiZDY1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Izembaro,/character/ch0540561/,Richard E. Grant,/name/nm0001290/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkZmFkMmItNzhiMy00ZTJkLThjM2YtNzBhMzU0ZmJkZjI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkZmFkMmItNzhiMy00ZTJkLThjM2YtNzBhMzU0ZmJkZjI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jacks,/character/ch0305034/,Paul Caddell,/name/nm4781280/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jafer Flowers,"","","","",false,"","","","",White Walker,"","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jaime Lannister,/character/ch0158527/,Nikolaj Coster-Waldau,/name/nm0182666/,Lannister,false,Tywin Lannister,"",Cersei Lannister,Tyrion Lannister,Roof collapse,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzU1NjM1MF5BMl5BanBnXkFtZTcwMzIxODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzU1NjM1MF5BMl5BanBnXkFtZTcwMzIxODg4OQ@@._V1_.jpg,The Kingslayer,Aerys II Targaryen,Jory Cassel,"","",Joffrey Baratheon,Myrcella Baratheon,Tommen Baratheon,"","",true,"","","",Alton Lannister,Torrhen Karstark,Olenna Tyrell,Euron Greyjoy,"","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","",Aerys II Targaryen,"","","","","","",,,,,,Robert Baratheon,Joffrey Baratheon,"","","","","","","",""
Rhaella Targaryen,"","","",Targaryen,true,"","",Aerys II Targaryen,"","","","","","","","","",Daenerys Targaryen,Rhaegar Targaryen,Viserys Targaryen,Aerys II Targaryen,"",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Janos Slynt,/character/ch0300651/,Dominic Carter,/name/nm0141582/,"",false,"","","","",Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BYjNkNjI3ZGItZmJmMC00Y2E3LWE2M2ItYzkzMTdlMGM1ZGE2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYjNkNjI3ZGItZmJmMC00Y2E3LWE2M2ItYzkzMTdlMGM1ZGE2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"",Barra,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jaqen H'ghar,/character/ch0259179/,Tom Wlaschiha,/name/nm0937239/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MjI5MzYwNzNeQTJeQWpwZ15BbWU3MDkxNDcxOTk@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MjI5MzYwNzNeQTJeQWpwZ15BbWU3MDkxNDcxOTk@._V1_.jpg,"",The Tickler,Amory Lorch,"","","","","","","",false,"","","",Despondent Man,"","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jaqen's Disguise,/character/ch0259179/,Patrick O'Kane,/name/nm0641433/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jaremy Rykker,/character/ch0305324/,Jeffrey O'Brien,/name/nm4475335/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BMjg4YjRmMDYtZjcyMS00YjM3LTg4OWQtZTg2MDFiZTJkZDIwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg4YjRmMDYtZjcyMS00YjM3LTg4OWQtZTg2MDFiZTJkZDIwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jeor Mormont,/character/ch0251492/,James Cosmo,/name/nm0181920/,Mormont,false,"","","","",Rast,https://images-na.ssl-images-amazon.com/images/M/MV5BODAwODYyNzk0NV5BMl5BanBnXkFtZTcwNDI2NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODAwODYyNzk0NV5BMl5BanBnXkFtZTcwNDI2NDk4OQ@@._V1_.jpg,"","","","","",Jorah Mormont,"","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jhiqui,/character/ch0305044/,Sarita Piotrowski,/name/nm4424689/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Joffrey Baratheon,/character/ch0156278/,Jack Gleeson,/name/nm0322416/,Baratheon,true,Robert Baratheon,Cersei Lannister,Myrcella Baratheon,Tommen Baratheon,Petyr Baelish,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NDg5MTAwMl5BMl5BanBnXkFtZTcwOTIwODg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NDg5MTAwMl5BMl5BanBnXkFtZTcwOTIwODg4OQ@@._V1_SY1000_CR0,0,818,1000_AL_.jpg","",Ros,"","","","","","",Sansa Stark,"",false,Olenna Tyrell,"","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","",Margaery Tyrell,,,"","","","","","","","","","","","","","","",,,,,,"","",Jaime Lannister,"","","","","","",""
Jojen Reed,/character/ch0316921/,Thomas Brodie-Sangster,/name/nm1032473/,"",false,Howland Reed,"",Meera Reed,"",Meera Reed,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTU4MTk4M15BMl5BanBnXkFtZTcwMTE4MTE5OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTU4MTk4M15BMl5BanBnXkFtZTcwMTE4MTE5OQ@@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Jon Arryn,/character/ch0251737/,John Standing,/name/nm0822062/,"",false,"","","","",Lysa Arryn,https://images-na.ssl-images-amazon.com/images/M/MV5BYmJiMzVjYzEtODA2ZC00NTkwLWI1ZDEtNDUxM2Y1NzcxZjU0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYmJiMzVjYzEtODA2ZC00NTkwLWI1ZDEtNDUxM2Y1NzcxZjU0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","",Eddard Stark,Robert Baratheon,"","","","","",,,,,,Robert Baratheon,"","","","","","","","",""
Jon Snow,/character/ch0155777/,Kit Harington,/name/nm3229685/,Stark,true,Rhaegar Targaryen,Lyanna Stark,"","",Alliser Thorne,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMjUxMDk2OV5BMl5BanBnXkFtZTcwMzg3MTg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMjUxMDk2OV5BMl5BanBnXkFtZTcwMzg3MTg4OQ@@._V1_.jpg,"",Othor,Qhorin Halfhand,"","","","","",Ygritte,"",false,Othell Yarwyck,"","",Orell,Karl Tanner,Styr,Mance Rayder,Janos Slynt,White Walker,Alliser Thorne,Othell Yarwyck,Bowen Marsh,Olly,Lyanna Stark,Daenerys Targaryen,Eddard Stark,"","",,"","",,,,,"","","",Targaryen,"","","",,,"","","","","","",Ghost,"","","","","",Bowen Marsh,"","",,,,,,"","","",Olly,"","","","","",""
Jonos Bracken,/character/ch0305332/,Gerry O'Brien,/name/nm0639569/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
