Character,Actor/ess,Episodes_appeared,First_appearance,Last_appearance
Reginald Lannister,Patrick FitzSymons,1,2012,2012
Brothel Customer,Derek Reid,1,2012,2012
Violet,Stephanie Blacker,1,2013,2013
Fruit Vendor,Alex Mileman,1,2013,2013
Tyrell Servant,Will Rastall,1,2013,2013
Warlock,Lottie Steer,1,2013,2013
King Joffrey Baratheon Dwarf,Raymond Griffiths,1,2014,2014
Wight,Alice Hewkin,1,2014,2014
Little Bird,Samuel Paul Small,1,2014,2014
Clea,Gwyneth Keyworth,1,2015,2015
Brusco,Garry Mountaine,1,2015,2015
Foreign Merchant,Allon Sylvain,1,2015,2015
Gerold Hightower,Eddie Eyre,1,2016,2016
Lannister Captain,Richard Laing,1,2016,2016
Iggo,Deon Lee-Williams,1,2016,2016
Sick Maester,Eamonn Draper,1,2017,2017
Rickard Karstark,Steve Blount,1,2011,2011
Unsullied,Rhys Howells,1,2013,2013
nan,Jon Freeman,1,2014,2014
Whore #1,Kristen Gillespie,1,2014,2014
King Stannis Baratheon Dwarf,Maxwell Laird,1,2014,2014
Sailor,Dylan McDonough,1,2015,2015
Beggar Woman,Emina Muftic,1,2015,2015
Denys Mallister,J.J. Murphy,1,2015,2015
Young Cersei Lannister,Nell Williams,1,2015,2015
Khal Brozho,Elie Haddad,1,2016,2016
Jonos Bracken,Gerry O'Brien,1,2011,2011
Stark Messenger,Moe Dunford,1,2012,2012
Jaqen's Disguise,Patrick O'Kane,1,2012,2012
Desmond Crakehall,Maro Drobnic,1,2013,2013
Guymon,Jem Wall,1,2014,2014
King Renly Baratheon Dwarf,Dean Whatton,1,2014,2014
nan,Rob Brockman,1,2015,2015
Baratheon General,Nigel O'Neill,1,2015,2015
Melara Hetherspoon,Isabella Steinbarth,1,2015,2015
Braavosi Woman #1,Kate Anthony,1,2016,2016
Khal Rhalko,Andrei Claude,1,2016,2016
Young Lyanna Stark,Cordelia Hill,1,2016,2016
Knight of House Frey,Patrick Ryan,1,2011,2011
Lannister Messenger,Simon Stewart,1,2011,2011
Lannister Torturer,Mark Byatt,1,2012,2012
Northern Lord,Pat Mooney,1,2012,2012
Stark Soldier,Michael Shaeffer,1,2012,2012
Yunkai'i Slave #1,Marin Tudor,1,2013,2013
King Robb Stark Dwarf,George Appleby,1,2014,2014
Innkeeper's Daughter,Gabrielle Dempsey,1,2014,2014
Olly's Mother,Raewyn Lippert,1,2014,2014
Street Tough #1,Tom Fava,1,2015,2015
Septa Moelle,Maggie Hayes,1,2015,2015
White Rat,Marcos James,1,2015,2015
nan,Daniel Johnson,1,2015,2015
Anara,Ollie Kram,1,2015,2015
Citadel Maester,Frank Hvam,1,2016,2016
Khal Qorro,Darius Dar Khan,1,2016,2016
Braavosi Woman #2,Sally Mortemore,1,2016,2016
Serving Girl,Kate Dempsey,1,2017,2017
Addam Marbrand,B.J. Hogg,1,2011,2011
Vayon Poole,Matthew Scurfield,1,2011,2011
Yunkai'i Slave #2,Roxana Kadyrova,1,2013,2013
Bolton Soldier,Gary Lightbody,1,2013,2013
King Balon Greyjoy Dwarf,Krysten Coombs,1,2014,2014
Whore #2,Maria Sikavica,1,2014,2014
nan,Richard Fitzwell,1,2015,2015
Strong Sam Stone,Allan Gildea,1,2015,2015
Septa Scolera,Mary Jordan,1,2015,2015
Mallister Supporter,Derek Lord,1,2015,2015
Brea,Gemita Samarra,1,2015,2015
Masha Heddle,Susie Kelly,1,2011,2011
Stark Guard,Faolan Morgan,1,2011,2011
Night's Watch Messenger,Frank O'Sullivan,1,2011,2011
Septon,Terry Byrne,1,2012,2012
Qartheen Woman,Kristina Krepela,1,2012,2012
Craster's Wife,Michelle Costello,1,2013,2013
Yunkai'i Slave #3,Jamal Ouarraq,1,2013,2013
Eyrie Guard,Paul Kennedy,1,2015,2015
Whore,Irma Mali,1,2015,2015
Brothel Customer,Ben Yates,1,2015,2015
Night's Watchman #2,Ruairí Heading,1,2016,2016
Lannister Soldier,Ciaran McMahon,1,2012,2012
Yunkai'i Slave #4,El Hasani,1,2013,2013
Craster's Younger Wife,Lisa Walsh,1,2013,2013
Sparring Boy,Stephen Brown,1,2015,2015
Street Tough #2,Winston Davis,1,2015,2015
Aya,Aifric O'Donnell,1,2015,2015
Brothel Child #1,Ella Tweed,1,2015,2015
Bolton Officer,Andrew Bryan,1,2016,2016
Lannister Scout,Chris Gallagher,1,2011,2011
Rhaego,Wren Ros Elliot-Sloan,1,2012,2012
Yunkai'i Slave #5,Mustapha Mekanassi,1,2013,2013
Maester Helliweg,Joe Hewetson,1,2015,2015
Brothel Child #2,Isabelle Jones,1,2015,2015
Inn Waitress,Irene Kelleher,1,2015,2015
Lannister Guard #2,Fiach Kunz,1,2015,2015
Handmaid,Sabrina Bartlett,1,2016,2016
Bolton Soldier,Tristan Heanue,1,2016,2016
Ironborn #3,James Lecky,1,2016,2016
Stark Guard,Rick Burn,1,2011,2011
Genna,Kylie Harris,1,2013,2013
Son of the Harpy,Curtis-Lee Ashqar,1,2015,2015
Baratheon Soldier #1,David Fennelly,1,2015,2015
Lannister Guard #3,Michael Johnston,1,2015,2015
Meereenese Homeless Mother,Sabina Arthur,1,2016,2016
Tommen's Attendant,Dermot Ward,1,2016,2016
Red Keep Stableboy,Hugo Culverhouse,1,2011,2011
Night's Watchman,Patrick J Molloy,1,2014,2014
Dwarf Hunter #1,Jonathan Gunning,1,2015,2015
Maester Caleotte,Colin Azzopardi,1,2016,2016
Tommen's Manservant,Aron Hegarty,1,2016,2016
Chella,Natalia Lee,1,2012,2012
Gordy,Tristan McConnell,1,2015,2015
Dwarf Hunter #2,Alan McKee,1,2015,2015
Wyman Manderly,Sean Blowers,1,2016,2016
Lord Portan,Gordon Fulton,1,2012,2012
Farmer's Daughter,Trixiebell Harrowell,1,2014,2014
Simpson,Laurence O'Fuarain,1,2015,2015
Cley Cerwyn,Tom Varey,1,2016,2016
Tourney Herald,Marko Cindric,1,2012,2012
Tortured Slave,Mark Drake,1,2013,2013
Woodcutter,Ralph Clemente,1,2015,2015
Dothraki Man Having Sex,Oliver Stockwell,1,2016,2016
King's Landing Drunkard,Anthony John Crocker,1,2015,2015
Great Master #2,Derek Horsham,1,2014,2014
King's Landing Whore,Kirsty Nicholls,1,2015,2015
Meereen Slave,Joshua Sher,1,2014,2014
King's Landing Flasher #1,Munro Graham,1,2015,2015
King's Landing Flasher #2,Ben Kelly,1,2015,2015
Cersei Body Double,Rebecca Van Cleave,1,2015,2015
The Bear,Bart the Bear,1,2013,2013
Night's Watch Officer,Michael Stuart,19,2013,2019
Baratheon Soldier,Graeme Peacock,11,2012,2017
Baratheon Soldier,Mark Quigley,11,2014,2019
Stark Soldier,Andrew McClay,10,2015,2019
Night's Watch,Bobby Marno,10,2015,2017
Baratheon Soldier,James Bleakney,9,2013,2016
Ironborn,Logan Bruce,6,2013,2019
Brotherhood Member,Tyrone Kearns,6,2013,2016
Knight of the Vale,Micheal Fitzgerald,6,2016,2019
Unsullied,Stephen Presley,6,2019,2019
Unsullied,Andrew Watson,6,2019,2019
Northern Lord,Robert Brown,5,2015,2019
Knight,Frédéric André,4,2011,2016
Craster's Wife,Kristy Robinson,4,2012,2015
Wildling,Jessica Odell,4,2015,2016
Stark Archer,Patrick Kelly,4,2016,2019
King's Landing Nobleman,Frank Cannon,3,2015,2016
Dothraki woman,Mariola Sanz,3,2015,2016
Meereen Guard,Juan Carlos Martínez Antuña,3,2017,2017
Unsullied Soldier,Jaryd Headley,3,2019,2019
Wildling,Brian Kearns,3,2019,2019
Lord Galbart Glover,Mark Coney,2,2011,2011
Mikken,Boyd Rankin,2,2011,2011
Nobleman,Aaron Archer,2,2012,2016
Frey Wedding Guest,Darragh O'Connor,2,2013,2016
Frey Wedding Guest,Laurence Doherty,2,2013,2014
Night's Watch,Gerald McMullan,2,2014,2017
Dothraki Rider,Daniel Naprous,2,2014,2017
King's Landing Handmaiden,Niamh Lennon,2,2014,2014
Mole's Town Whore,Marion McDowell,2,2014,2014
Tyrell Cousin,Kylie Zimmer,2,2014,2014
Burning Lannister,Calvin Warrington-Heasman,2,2015,2017
Tully Soldier,Simon Millar,2,2015,2016
Wildling,Jessica Stevenson,2,2015,2015
Karstark Soldier,Peter Rooney,2,2016,2019
Bolton Infantry,Kevin-Barry Brown,2,2016,2016
Kingsland Taverner,Michael William Burns,2,2016,2016
Braavosi Theatre Server,Tamsin Greene Barker,2,2016,2016
Braavosi Theatre Sound Artist,Kiran Shah,2,2016,2016
Meereen Guard,Hugh Yeaman,2,2016,2016
Captured Wight,Michael Byrch,2,2017,2017
Lady of Winterfell,Canan Avsar,2,2019,2019
Dothraki Rider,Spencer Collings,2,2019,2019
Baratheon Guard,Phil Barnhill,1,2011,2011
Prostitute,Caroline Davis,1,2011,2011
Winterfell Beekeeper,Owen Dickey,1,2011,2011
Mago,Ivailo Dimitrov,1,2011,2011
Lady of Eyrie Landing (2011),Bernadette Dobbin,1,2011,2011
Peasant,Melissa Reid,1,2011,2011
Lannister Guard,James Tolcher,1,2011,2011
King's Guard,Robert Yates,1,2011,2011
Baratheon Archer,Robert Atkinson,1,2012,2012
Wight,Noel Cecil,1,2012,2012
Black Knight,Jonathan Cohen,1,2012,2012
Lannister Archer,Hugh Irvine,1,2012,2012
Weasel,Paul Kealyn,1,2012,2012
Selyse Baratheon,Sarah Mac Keever,1,2012,2012
Young Nobleman,Filip Lozic,1,2012,2012
Stark Guard,Paul Monahan,1,2012,2012
Craster's Daughter,Ginger A. Taylor,1,2012,2012
Riverrun Nobleman,Matt Butcher,1,2013,2013
Marianne Frey,Katie Creaven,1,2013,2013
Musician,Kevin McCann,1,2013,2013
Hoster Tully,Christopher Newman,1,2013,2013
Bathhouse Boy,Niall O'Donnell,1,2013,2013
Khaleesi Handmaiden #1,Rachel Puchkoff,1,2013,2013
Yunkai Citizen,Mustapha Rachidi,1,2013,2013
Dothraki,Omar Youssef,1,2013,2013
Noble Man,Neil Baltus,1,2014,2014
Waitress,Emma Bryant,1,2014,2014
Cooper,Joe Claflin,1,2014,2014
Dragonstone waiter,Bryan Cogman,1,2014,2014
Stannis Guard,Oisin De Lange,1,2014,2014
Wedding Guest,Paul Herbert,1,2014,2014
Inn Customer,Phelim Kelly,1,2014,2014
Frey Serving Boy,Mark Kelvin Ryan,1,2014,2014
Noble Lady,Stella Lutz,1,2014,2014
Night's Watch Archer,Neil Marshall,1,2014,2014
Donnel Hill,Jack Roth,1,2014,2014
Wedding Band,Sigur Rós,1,2014,2014
Wedding Guest,C.C. Smiff,1,2014,2014
Strong Fighter,Adam Basil,1,2015,2015
Fighter,Roman Beguns,1,2015,2015
Wildling,Brann Dailor,1,2015,2015
Fighter,Rob de Groot,1,2015,2015
Wildling Archer,Jenny Edgar,1,2015,2015
Wight,Cassie Friel,1,2015,2015
Wildling,Brent Hinds,1,2015,2015
Slave,Terence Hughes,1,2015,2015
Pit Fighter,Charles Jarman,1,2015,2015
Wilding Gladiator,Danko Jordanov,1,2015,2015
Wildling,Bill Kelliher,1,2015,2015
Night's Watch Recruit,Christopher Kinkead,1,2015,2015
Wildling Archer,Chelsea Mainwaring,1,2015,2015
Wight,Barrie Martin,1,2015,2015
Wildling,Elaine O'Dwyer,1,2015,2015
Wildling,Royd Tolkien,1,2015,2015
Passerby,Kerim Topcic,1,2015,2015
Unsullied Guard,Pablo Verdejo,1,2015,2015
Volantene Whore,Raquel Arraes,1,2016,2016
Child of the Forest #1,Kristina Baskett,1,2016,2016
Child of the Forest #2,Rachelle Beinart,1,2016,2016
Tavern Maid,Elynia Betts,1,2016,2016
Volantene Whore,Susan Christie,1,2016,2016
Frey Daughter,Milly Burke Cunningham,1,2016,2016
Quinn,Oryan Landa,1,2016,2016
'That's Right' Man,Jose Mellinas,1,2016,2016
Child of the Forest #3,Casey Michaels,1,2016,2016
Volantene Whore,Sophia Smith,1,2016,2016
Healtor Troop,Gary Wales,1,2016,2016
Howland Reed,Leo Woodruff,1,2016,2016
Dothraki Rider,Charlie Barrett,1,2017,2017
Traveller,Dario Cannizzaro,1,2017,2017
Woman in King's Landing,Carolina Castellano,1,2017,2017
Wildling,Dan Euston,1,2017,2017
Lannister Guard,Christian Gimse,1,2017,2017
Lannister Soldier,Seán McGillicuddy,1,2017,2017
Night's Watch,Brendan McGivern,1,2017,2017
Tyrell Guard,Ross Moneypenny,1,2017,2017
Burning Lannister,Douglas Robson,1,2017,2017
Lannister Map Painter,Jim Stanes,1,2017,2017
Lannister Spearman,Noah Syndergaard,1,2017,2017
Unsullied,Louis Agbodo,1,2019,2019
King's Landing Citizen,Lorenzo Antonucci,1,2019,2019
Wildling #2,David Benioff,1,2019,2019
Lannister Archer,Brian Black,1,2019,2019
Alanna,Kim Chapman,1,2019,2019
Soldier,Sophie Ellis-Bextor,1,2019,2019
Ironborn #3,Dave Hill,1,2019,2019
Wight,Jack Hudson,1,2019,2019
Soldier,Richard Jones,1,2019,2019
Ironborn #1,Rob McElhenney,1,2019,2019
King's Landing Citizen,Patrick McGilligan,1,2019,2019
Stark Guard,Jesse Morris,1,2019,2019
Lannister Officer,Duncan Muggoch,1,2019,2019
Grieving Daughter,Michelle O'Flaherty,1,2019,2019
Lannister Guard,Adam Quigley-Nixon,1,2019,2019
King's Landing Citizen,Aaron Rodgers,1,2019,2019
Old Man,Derek Smith,1,2019,2019
Wildling Wight,Chris Stapleton,1,2019,2019
Ironborn #2,Martin Starr,1,2019,2019
Soldier,Vasco Temudo,1,2019,2019
Wildling #1,D.B. Weiss,1,2019,2019
Wight,Gareth Wright,1,2019,2019
