,characterName,characterLink,actorName,actorLink,houseName,royal,parents,siblings,killedBy,characterImageThumb,characterImageFull,nickname,killed,servedBy,parentOf,marriedEngaged,serves,kingsguard,guardedBy,actors,guardianOf,allies,abductedBy,abducted,sibling
53,Doreah,/character/ch0248504/,Roxanne McKee,/name/nm1861467/,,,,,['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Irri'],,,,,,,,,,,,
54,Dothraki Bloodrider #1,/character/ch0542918/,Diogo Sales,/name/nm6088160/,,,,,['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,
55,Dothraki Bloodrider #2,/character/ch0542918/,Junade Khan,/name/nm2999602/,,,,,['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,
56,Drennan,/character/ch0305030/,David Coakley,/name/nm2231505/,,,,,['Osha'],,,,,,,,,,,,,,,,
57,Drogon,,,,Targaryen,,,"['Rhaegal', 'Viserion']",,,,,"['Pyat Pree', 'Kraznys mo Nakloz', 'Zalla']",,,,,,,,['Daenerys Targaryen'],,,,
58,Drowned Priest,/character/ch0411375/,Jonathan Ryan,/name/nm0752638/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOGEwMjRhYzgtYjY1YS00MjhlLTllYjYtNWQzOGQxOTE3ZDczXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGEwMjRhYzgtYjY1YS00MjhlLTllYjYtNWQzOGQxOTE3ZDczXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
59,Eddard Stark,/character/ch0154681/,Sean Bean,/name/nm0000293/,Stark,,['Rickard Stark'],"['Brandon Stark', 'Benjen Stark', 'Lyanna Stark']",['Ilyn Payne'],https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1_SY1000_CR0,0,827,1000_AL_.jpg",Ned,"['Arthur Dayne', 'Will', 'Lady', 'Gerold Hightower']",,"['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Bran Stark', 'Rickon Stark']",['Catelyn Stark'],,,['Jon Arryn'],,['Jon Snow'],"['Howland Reed', 'Robert Baratheon']",,,
60,Eddison Tollett,/character/ch0305008/,Ben Crompton,/name/nm0174005/,,,,,['Wight'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1_.jpg,,,,,,,,,,,,,,
61,Edmure Tully,/character/ch0316931/,Tobias Menzies,/name/nm0580014/,Tully,,,"['Catelyn Stark', 'Lysa Arryn']",,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,['Roslin Frey'],,,,,,,,,
62,Ellaria Sand,/character/ch0309687/,Indira Varma,/name/nm0890055/,Martell,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,"['Myrcella Baratheon', 'Doran Martell']",,['Tyene Sand'],['Oberyn Martell'],,,,,,,,,
63,Elia Martell,,,,Martell,True,,"['Doran Martell', 'Oberyn Martell']",['Gregor Clegane'],,,,,,"['Rhaenys Targaryen', 'Aegon Targaryen']",['Rhaegar Targaryen'],,,,,,,,,
64,Eon Hunter,/character/ch0305321/,Barrington Cullen,/name/nm4473207/,,,,,,,,,,,,,,,,,,,,,
65,Euron Greyjoy,/character/ch0518715/,Pilou Asbæk,/name/nm1561982/,Greyjoy,,,"['Balon Greyjoy', 'Aeron Greyjoy']",['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,"['Balon Greyjoy', 'Obara Sand', 'Nymeria Sand', 'Rhaegal']",,,,,,,,,,,,
66,Faceless Man,/character/ch0259179/,Cedric Henderson,/name/nm2406775/,,,,,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODYxODI0MF5BMl5BanBnXkFtZTgwMDk4NDY0NTE@._V1_UX214_CR0,0,214,317_AL_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODYxODI0MF5BMl5BanBnXkFtZTgwMDk4NDY0NTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,,,,,,,,,,,,,
67,Farlen,/character/ch0305027/,Peter Ballance,/name/nm0050520/,,,,,,,,,,,,,,,,,,,,,
68,Gared,/character/ch0171395/,Dermot Keaney,/name/nm0443825/,,,,,['White Walker'],https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
69,Gatins,/character/ch0523969/,Ricky Champ,/name/nm2307468/,,,,,['Sandor Clegane'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwZmJkNDktZWMwMC00ZGNlLWJkNWYtN2ZmOWEzNDFiNWMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwZmJkNDktZWMwMC00ZGNlLWJkNWYtN2ZmOWEzNDFiNWMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SX1777_CR0,0,1777,999_AL_.jpg",,,,,,,,,,,,,,
70,Gendry,/character/ch0300040/,Joe Dempsie,/name/nm1478079/,Baratheon,,['Robert Baratheon'],,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1_SY1000_CR0,0,846,1000_AL_.jpg",,"['Kevin Eldon', 'Laurence Spellman']",,,,,,,,,,,,
71,Gerold Hightower,/character/ch0540530/,Eddie Eyre,/name/nm6793798/,,,,,['Eddard Stark'],https://images-na.ssl-images-amazon.com/images/M/MV5BODc3OTIzYmEtYjk2Yy00NTgwLTk4OWMtMjlmMmJmNDE5OGU2XkEyXkFqcGdeQXVyNjU5MTM2ODI@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODc3OTIzYmEtYjk2Yy00NTgwLTk4OWMtMjlmMmJmNDE5OGU2XkEyXkFqcGdeQXVyNjU5MTM2ODI@._V1_.jpg,,,,,,,,,,,,,,
72,Ghost,,,,Stark,,,"['Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog']",,,,,['Rast'],,,,,,,,['Jon Snow'],,,,
73,Gilly,/character/ch0306819/,Hannah Murray,/name/nm2356940/,,,['Craster'],,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTQxMTA3MF5BMl5BanBnXkFtZTcwODM5NDk4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTQxMTA3MF5BMl5BanBnXkFtZTcwODM5NDk4OQ@@._V1_SY1000_CR0,0,760,1000_AL_.jpg",,,,['Baby Sam'],['Samwell Tarly'],,,,,,,,,
74,Goldcloak,/character/ch0305037/,Alan Paris,/name/nm3354768/,,,,,,,,,,,,,,,,,,,,,
75,Goldcloak,/character/ch0305037/,Sam Callis,/name/nm0130538/,,,,,,,,,,,,,,,,,,,,,
76,Goldcloak #1,/character/ch0305037/,Nikovich Sammut,/name/nm2089809/,,,,,,,,,,,,,,,,,,,,,
77,Goldcloak #2,/character/ch0305037/,Seamus Kelly,/name/nm4440118/,,,,,,,,,,,,,,,,,,,,,
78,Grand Maester Pycelle,/character/ch0232836/,Julian Glover,/name/nm0002103/,,,,,['Little Birds'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDA4MzQ3MF5BMl5BanBnXkFtZTcwNTM3ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDA4MzQ3MF5BMl5BanBnXkFtZTcwNTM3ODg4OQ@@._V1_.jpg,,,,,,,,,,,,,,
79,Great Master #1,/character/ch0525536/,,,,,,,"['Rebel Slaves', 'Viserion', 'Rhaegal']",,,,,,,,,,,"[{'actorName': 'Emilio Doorgasingh', 'actorLink': '/name/nm0233266/', 'seasonsActive': [4]}, {'actorName': 'Gianpiero Cognoli', 'actorLink': '/name/nm2483357/', 'seasonsActive': [5]}]",,,,,
80,Great Master #2,/character/ch0525536/,,,,,,,,,,,,,,,,,,"[{'actorName': 'Derek Horsham', 'actorLink': '/name/nm2471942/', 'seasonsActive': [4]}, {'actorName': 'Bobby Asghar', 'actorLink': '/name/nm6800489/', 'seasonsActive': [5]}]",,,,,
81,Great Master #3,/character/ch0525536/,Peter Silverleaf,/name/nm0798872/,,,,,,,,,,,,,,,,,,,,,
82,Great Master #4,/character/ch0525536/,Davor Jozinovic,/name/nm7318132/,,,,,,,,,,,,,,,,,,,,,
83,Great Master #5,/character/ch0525536/,Ivan Peric,/name/nm3005802/,,,,,,,,,,,,,,,,,,,,,
84,Great Master #6,/character/ch0525536/,Hadi Kermani,/name/nm7318134/,,,,,,,,,,,,,,,,,,,,,
85,Great Master #7,/character/ch0525536/,Tonci Banov,/name/nm7318135/,,,,,,,,,,,,,,,,,,,,,
86,Greatjon Umber,/character/ch0305010/,Clive Mantle,/name/nm0544139/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,['Smalljon Umber'],,,,,,,,,,
87,Gregor Clegane,/character/ch0245401/,,,,,,,['Sandor Clegane'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1_.jpg,The Mountain,"['Elia Martell', 'Rhaenys Targaryen', 'Aegon Targaryen', 'Hugh of the Vale', 'Oberyn Martell', ""King's Landing Boaster"", 'Faith Militant', 'Missandei', 'Qyburn']",,,,"['Tywin Lannister', 'Cersei Lannister']",,,"[{'actorName': 'Ian Whyte', 'actorLink': '/name/nm1613839/', 'seasonsActive': [2]}, {'actorName': 'Conan Stevens', 'actorLink': '/name/nm1947403/', 'seasonsActive': [1]}, {'actorName': 'Hafþór Júlíus Björnsson', 'actorLink': '/name/nm5491087/', 'seasonsActive': [4, 5, 6, 7, 8]}]",,,,,
88,Greizhen mo Ullhor,/character/ch0396531/,Cliff Barry,/name/nm0057965/,,,,,['Unsullied'],https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SY1000_SX1500_AL_.jpg,,,,,,,,,,,,,,
89,Grenn,/character/ch0251496/,Mark Stanley,/name/nm4440305/,,,,,['Mag the Mighty'],https://images-na.ssl-images-amazon.com/images/M/MV5BMzkzOTI0NjM3MV5BMl5BanBnXkFtZTcwMTY3ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzkzOTI0NjM3MV5BMl5BanBnXkFtZTcwMTY3ODg4OQ@@._V1_.jpg,,['Mag the Mighty'],,,,,,,,,,,,
90,Grey Wind,,,,Stark,,,"['Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']",['Frey Crossbowmen'],,,,['Rennick'],,,,,,,,['Robb Stark'],,,,
91,Grey Worm,/character/ch0335038/,Jacob Anderson,/name/nm2760664/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMjk3ZDJlNTQtZDBiMC00ODVhLTlmYmYtYzkxMDA0N2QxNDY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjk3ZDJlNTQtZDBiMC00ODVhLTlmYmYtYzkxMDA0N2QxNDY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,"['Belicho Paenymion', 'Razdal mo Eraz', 'Harry Strickland']",,,,['Daenerys Targaryen'],,,,,,,,
92,Hallyne,/character/ch0259178/,Roy Dotrice,/name/nm0234541/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg4YzNjMzMtYzk4OS00NTEwLWE1NWItYjMyODViNTQ4YmUxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg4YzNjMzMtYzk4OS00NTEwLWE1NWItYjMyODViNTQ4YmUxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
93,Handmaid,/character/ch0537855/,Sabrina Bartlett,/name/nm6301068/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
94,Handmaid,/character/ch0537855/,Sara Dylan,/name/nm2407387/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwMjczOGQtZjRmOC00NmIyLWE1YmMtZmE2OGEzNzY2Mjg4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
95,Harald Karstark,/character/ch0542917/,Paul Rattray,/name/nm1051151/,,,['Rickard Karstark'],,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE4OTIwNWQtZjNkOC00MzhhLThhYzQtMmU1OTFiZGU3YzMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE4OTIwNWQtZjNkOC00MzhhLThhYzQtMmU1OTFiZGU3YzMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,['Alys Karstark'],,,,,,,,,,
96,Harry Strickland,,Marc Rissmann,/name/nm4704928/,,,,,['Grey Worm'],https://images-na.ssl-images-amazon.com/images/M/MV5BZGVkZjRkMzUtMzgzYy00YzcyLThhZmMtNDMxMGNmNGRmNWQyXkEyXkFqcGdeQXVyNDgzNTg0OTA@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZGVkZjRkMzUtMzgzYy00YzcyLThhZmMtNDMxMGNmNGRmNWQyXkEyXkFqcGdeQXVyNDgzNTg0OTA@._V1_.jpg,,,,,,,,,,,,,,
97,High Priestess,/character/ch0539898/,Souad Faress,/name/nm0267256/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzQxOTMwM15BMl5BanBnXkFtZTgwMzkwMzg4ODE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzQxOTMwM15BMl5BanBnXkFtZTgwMzkwMzg4ODE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,
98,High Septon,/character/ch0508056/,David Verrey,/name/nm0894857/,,,,,['Kings Landing Rioters'],,,,,,,,,,,,,,,,
99,High Septon,/character/ch0508056/,Paul Bentley,/name/nm0072855/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyYTc3OTgtMmE1Mi00NDVmLWIyNjYtOTIwNDAyYmVmN2E5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyYTc3OTgtMmE1Mi00NDVmLWIyNjYtOTIwNDAyYmVmN2E5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
100,High Sparrow,/character/ch0476559/,Jonathan Pryce,/name/nm0000596/,,,,,['Cersei Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTk0MjExMF5BMl5BanBnXkFtZTgwODk5Njk5NzE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTk0MjExMF5BMl5BanBnXkFtZTgwODk5Njk5NzE@._V1_SY1000_CR0,0,1504,1000_AL_.jpg",,,,,,,,,,,,,,
101,Hizdahr zo Loraq,/character/ch0414458/,Joel Fry,/name/nm2181128/,,,,,['Sons of the Harpy'],https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4YjdmZjItYmExNi00YmNlLWJjZmYtNWEwMmEzNGFjYmFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4YjdmZjItYmExNi00YmNlLWJjZmYtNWEwMmEzNGFjYmFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
102,Hodor,/character/ch0238584/,Kristian Nairn,/name/nm3964231/,,,,,['Wights'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzU4MDEyNF5BMl5BanBnXkFtZTcwNDM2ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzU4MDEyNF5BMl5BanBnXkFtZTcwNDM2ODg4OQ@@._V1_.jpg,,['Locke'],,,,,,,,,,,,
103,Hoster Tully,/character/ch0540082/,Christopher Newman,/name/nm0628040/,Tully,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3YzMzOWUtNzNjYi00ODYzLThjNjUtNzc4NzFlNmE2NjgyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3YzMzOWUtNzNjYi00ODYzLThjNjUtNzc4NzFlNmE2NjgyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
104,Hot Pie,/character/ch0273432/,Ben Hawkey,/name/nm3444954/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNTI4NDg4M15BMl5BanBnXkFtZTcwNDk4NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNTI4NDg4M15BMl5BanBnXkFtZTcwNDk4NDk4OQ@@._V1_.jpg,,,,,,,,,,,,,,
105,Howland Reed,/character/ch0543132/,Leo Woodruff,/name/nm4547262/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdkNjRkMTAtZGMwOS00OTA4LWE5NzktNDIyOTNiOTM0ZjkxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdkNjRkMTAtZGMwOS00OTA4LWE5NzktNDIyOTNiOTM0ZjkxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Arthur Dayne'],,"['Jojen Reed', 'Meera Reed']",,,,,,,['Eddard Stark'],,,
106,Hugh of the Vale,/character/ch0305026/,Jefferson Hall,/name/nm2131630/,,,,,['Gregor Clegane'],https://images-na.ssl-images-amazon.com/images/M/MV5BODRhNGQwNDgtNDEwNS00MWRlLWJmZTQtMTJlNjNmZTI1ZDk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODRhNGQwNDgtNDEwNS00MWRlLWJmZTQtMTJlNjNmZTI1ZDk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
107,Illyrio Mopatis,/character/ch0172909/,Roger Allam,/name/nm0019885/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM1OWY0ZmUtNWM5Ny00NzgzLWFhMmUtOWY1Njc3NmNkZmM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM1OWY0ZmUtNWM5Ny00NzgzLWFhMmUtOWY1Njc3NmNkZmM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
108,Ilyn Payne,/character/ch0246254/,Wilko Johnson,/name/nm3330122/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BOGY5ZGE1OGUtODYwNS00OTVlLWE1MWItMzI5NDBmYWIwZTI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGY5ZGE1OGUtODYwNS00OTVlLWE1MWItMzI5NDBmYWIwZTI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Eddard Stark'],,,,,,,,,,,,
109,Irri,/character/ch0249444/,Amrita Acharia,/name/nm3822505/,,,,,['Doreah'],https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y0ZmNiMjItNzVmNi00MGEyLWFhMTUtZDZkYTBmZjFiZDY1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y0ZmNiMjItNzVmNi00MGEyLWFhMTUtZDZkYTBmZjFiZDY1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
110,Izembaro,/character/ch0540561/,Richard E. Grant,/name/nm0001290/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkZmFkMmItNzhiMy00ZTJkLThjM2YtNzBhMzU0ZmJkZjI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkZmFkMmItNzhiMy00ZTJkLThjM2YtNzBhMzU0ZmJkZjI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
111,Jacks,/character/ch0305034/,Paul Caddell,/name/nm4781280/,,,,,,,,,,,,,,,,,,,,,
112,Jafer Flowers,,,,,,,,['White Walker'],,,,,,,,,,,,,,,,
113,Jaime Lannister,/character/ch0158527/,Nikolaj Coster-Waldau,/name/nm0182666/,Lannister,,['Tywin Lannister'],"['Cersei Lannister', 'Tyrion Lannister']",['Roof collapse'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzU1NjM1MF5BMl5BanBnXkFtZTcwMzIxODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzU1NjM1MF5BMl5BanBnXkFtZTcwMzIxODg4OQ@@._V1_.jpg,The Kingslayer,"['Aerys II Targaryen', 'Jory Cassel', 'Alton Lannister', 'Torrhen Karstark', 'Olenna Tyrell', 'Euron Greyjoy']",,"['Joffrey Baratheon', 'Myrcella Baratheon', 'Tommen Baratheon']",,,True,,,"['Aerys II Targaryen', 'Robert Baratheon', 'Joffrey Baratheon']",,,,
114,Janos Slynt,/character/ch0300651/,Dominic Carter,/name/nm0141582/,,,,,['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BNGUwMzllZGEtZjdkZi00NTgwLTgxY2UtODFhZjZlZDNmN2ZkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY100_SX100_AL_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNGUwMzllZGEtZjdkZi00NTgwLTgxY2UtODFhZjZlZDNmN2ZkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Barra'],,,,,,,,,,,,
